root_id,baseline,LPLC2_L,LPLC2_R,LPLC2_both,LC4_L,LC4_R,LC4_LPLC2_L,cell_type,side
720575940646764579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge006,left
720575940615323298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg72,left
720575940624651189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge084,left
720575940634525303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge071,left
720575940630665210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg28,left
720575940618167579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNae001,left
720575940627368723,0.0,0.0,3.0,0.5,0.0,0.0,0.0,DNde005,left
720575940634253281,0.0,0.0,5.0,0.0,0.0,0.25,0.0,DNae003,left
720575940642894628,0.0,0.0,90.75,84.75,0.0,0.0,0.0,DNp34,left
720575940627366675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg72,left
720575940616649845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe003,left
720575940604284128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe009,right
720575940618203707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNc02,left
720575940622565590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge047,right
720575940627490459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge130,left
720575940604930481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge019,left
720575940632407826,0.0,0.0,1.25,1.25,0.0,0.0,0.0,DNg70,left
720575940647031860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge122,left
720575940636656632,0.0,28.75,34.75,45.5,9.75,0.0,32.75,DNg74_b,left
720575940623503318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg104,right
720575940612805118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg10,right
720575940649809273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg56,right
720575940645047831,0.0,0.5,0.0,0.0,0.25,0.0,0.0,DNg16,left
